theme,url,img,lines,author
BELIEVE IN YOURSELF,/inspirational-quotes/8011-don-t-let-others-tell-you-what-you-can-t-do,https://assets.passiton.com/quotes/quote_artwork/8011/medium/20220912_monday_quote.jpg,"Don’t let others tell you what you can’t do. Don't let the limitations of others limit your vision. If you can remove your self-doubt and believe in yourself, you can achieve what you never thought possible.",<Author:0x00007faace1fa358>
SMILE,/inspirational-quotes/7042-dont-cry-because-its-over-smile-because-it,https://assets.passiton.com/quotes/quote_artwork/7042/medium/20220909_friday_quote.jpg,"Don't cry because it's over, smile because it happened.",<Author:0x00007faace1e8c20>
SMILE,/inspirational-quotes/6258-a-smile-is-a-curve-that-sets-everything-straight,https://assets.passiton.com/quotes/quote_artwork/6258/medium/20220908_thursday_quote.jpg,A smile is a curve that sets everything straight. ,<Author:0x00007faace232bb8>
SMILE,/inspirational-quotes/7905-just-one-smile-immensely-increases-the-beauty,https://assets.passiton.com/quotes/quote_artwork/7905/medium/20220907_wednesday_quote.jpg,"Just one smile, immensely increases the beauty, of the universe.",<Author:0x00007faace2217f0>
SMILE,/inspirational-quotes/8145-if-you-see-someone-without-a-smile-give-them,https://assets.passiton.com/quotes/quote_artwork/8145/medium/20220906_tuesday_quote.jpg,"If you see someone without a smile, give them one of yours.",<Author:0x00007faace2702d8>
SMILE,/inspirational-quotes/7323-too-often-we-underestimate-the-power-of-a,https://assets.passiton.com/quotes/quote_artwork/7323/medium/20220905_monday_quote.jpg,"Too often we underestimate the power of a touch, a smile, a kind word... all of which have the potential to turn a life around.",<Author:0x00007faace25ae88>
PEACE,/inspirational-quotes/8357-every-breath-we-take-every-step-we-make-can,https://assets.passiton.com/quotes/quote_artwork/8357/medium/20220902_friday_quote.jpg,"Every breath we take, every step we make, can be filled with peace, joy and serenity.",<Author:0x00007faace2499f8>
PEACE,/inspirational-quotes/8177-when-we-create-peace-and-harmony-and-balance-in,https://assets.passiton.com/quotes/quote_artwork/8177/medium/20220901_thursday_quote.jpg,"When we create peace and harmony and balance in our minds, we will find it in our lives. ",<Author:0x00007faace293fa8>
PEACE,/inspirational-quotes/7583-peace-begins-with-a-smile,https://assets.passiton.com/quotes/quote_artwork/7583/medium/20220831_wednesday_quote_alt.jpg,Peace begins with a smile.,<Author:0x00007faace282a50>
PEACE,/inspirational-quotes/3328-choose-love-and-peace-will-follow-choose-peace,https://assets.passiton.com/quotes/quote_artwork/3328/medium/20220830_tuesday_quote.jpg,Choose love and peace will follow. Choose peace and love will follow.,<Author:0x00007faace2d0ef8>
PEACE,/inspirational-quotes/7429-peace-like-charity-begins-at-home,https://assets.passiton.com/quotes/quote_artwork/7429/medium/20220829_monday_quote.jpg,"Peace, like charity, begins at home.",<Author:0x00007faace2bb9e0>
LOVE,/inspirational-quotes/6900-let-us-see-what-love-can-do,https://assets.passiton.com/quotes/quote_artwork/6900/medium/20220826_friday_quote.jpg,Let us see what love can do.,<Author:0x00007faace2aa460>
LOVE,/inspirational-quotes/6128-may-love-and-laughter-light-your-days-and-warm,https://assets.passiton.com/quotes/quote_artwork/6128/medium/20220825_thursday_quote.jpg,"May love and laughter light your days, and warm your heart and home. May good and faithful friends be yours wherever you may roam...
",<Author:0x00007faace2f8b38>
LOVE,/inspirational-quotes/7969-i-believe-in-the-spirit-of-equality-and-the,https://assets.passiton.com/quotes/quote_artwork/7969/medium/20220824_wednesday_quote.jpg,I believe in the spirit of equality and the spirit of this country as one of love and compassion and kindness.,<Author:0x00007faace2e3030>
LOVE,/inspirational-quotes/6459-we-lose-ourselves-in-the-things-we-love-we,https://assets.passiton.com/quotes/quote_artwork/6459/medium/20220823_tuesday_quote.jpg,"We lose ourselves in the things we love. We find ourselves there, too.",<Author:0x00007faace331be0>
LOVE,/inspirational-quotes/7692-you-yourself-as-much-as-anybody-in-the-entire,https://assets.passiton.com/quotes/quote_artwork/7692/medium/20220822_monday_quote.jpg,"You yourself, as much as anybody in the entire universe deserve your love and affection.",<Author:0x00007faace3207a0>
PERSPECTIVE,/inspirational-quotes/8356-you-have-the-capability-to-change-your-life-all,https://assets.passiton.com/quotes/quote_artwork/8356/medium/20220819_friday_quote.jpg,You have the capability to change your life all with a simple shift in perspective.,<Author:0x00007faace30b300>
PERSPECTIVE,/inspirational-quotes/8355-the-smallest-change-in-perspective-can,https://assets.passiton.com/quotes/quote_artwork/8355/medium/20220818_thursday_quote.jpg,The smallest change in perspective can transform a life. What tiny attitude adjustment might turn your world around?,<Author:0x00007faace3598c0>
PERSPECTIVE,/inspirational-quotes/6441-its-not-what-you-look-at-that-matters-its-what,https://assets.passiton.com/quotes/quote_artwork/6441/medium/20220817_wednesday_quote.jpg,"It's not what you look at that matters, it's what you see. ",<Author:0x00007faace3482c8>
PERSPECTIVE,/inspirational-quotes/8354-wisdom-is-your-perspective-on-life-your-sense,https://assets.passiton.com/quotes/quote_artwork/8354/medium/20220816_tuesday_quote.jpg,"Wisdom is your perspective on life, your sense of balance, your understanding of how the various parts and principles apply and relate to each other.",<Author:0x00007faace392d50>
PERSPECTIVE,/inspirational-quotes/8353-the-best-ideas-emerge-when-very-different,https://assets.passiton.com/quotes/quote_artwork/8353/medium/20220815_monday_quote.jpg,The best ideas emerge when very different perspectives meet.,<Author:0x00007faace3818c0>
